<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
20100617 000000 1401.7300000 1425.8100000 1387.1300000 1400.6600000 519576185
20100618 000000 1400.6600000 1413.5200000 1393.0600000 1409.4300000 419915120
20100621 000000 1410.4600000 1458.9000000 1409.0000000 1457.9500000 572458884
20100622 000000 1457.9500000 1457.9500000 1423.5300000 1434.9300000 491580358
20100623 000000 1434.7800000 1436.1700000 1413.2500000 1418.4200000 392651292
20100624 000000 1418.4200000 1430.7200000 1400.1600000 1402.9700000 554462435
20100625 000000 1403.1100000 1408.5400000 1382.3300000 1387.6600000 375806044
20100628 000000 1386.5800000 1409.0500000 1379.0200000 1403.4200000 358714852
20100629 000000 1404.0400000 1407.3900000 1349.4100000 1356.0500000 522967169
20100630 000000 1356.4000000 1362.0900000 1333.8500000 1339.3500000 451130986
20100701 000000 1339.4800000 1341.0200000 1288.4700000 1288.7200000 605803475
20100702 000000 1288.7200000 1318.4400000 1285.4800000 1316.6500000 439081291
20100705 000000 1316.1200000 1324.7300000 1311.0300000 1318.0000000 312234143
20100706 000000 1317.6700000 1354.4300000 1316.0600000 1353.6600000 562087852
20100707 000000 1353.0700000 1353.4600000 1324.0900000 1352.7100000 374716281
20100708 000000 1352.9400000 1374.6500000 1352.0300000 1356.0900000 509405004
20100709 000000 1356.1100000 1370.3800000 1345.1900000 1359.4500000 492396518
20100712 000000 1359.4000000 1390.3300000 1355.6600000 1386.4200000 397744965
20100713 000000 1385.2300000 1415.6200000 1376.6300000 1409.6100000 459491724
20100714 000000 1409.4100000 1430.6400000 1408.4100000 1412.1400000 622922827
20100715 000000 1412.1400000 1433.9400000 1402.6300000 1403.3300000 546577273
20100716 000000 1403.3300000 1416.9700000 1386.4700000 1389.9200000 538831249
20100719 000000 1389.9200000 1405.8500000 1381.4600000 1394.9200000 599009010
20100720 000000 1395.4600000 1414.1900000 1380.5700000 1388.4300000 510523230
20100721 000000 1388.4300000 1422.3600000 1388.4300000 1417.4900000 548835584
20100722 000000 1417.0500000 1443.2500000 1403.1200000 1442.9100000 732913036
20100723 000000 1443.2600000 1456.5200000 1438.0400000 1449.1900000 571601931
20100726 000000 1449.3800000 1469.9900000 1447.6700000 1467.6800000 432900608
20100727 000000 1468.0700000 1492.2000000 1466.8900000 1481.3200000 722181201
20100728 000000 1481.5700000 1491.5900000 1468.4200000 1474.9600000 521469274
20100729 000000 1474.9600000 1510.3700000 1473.7000000 1503.6800000 409268806
20100730 000000 1503.5800000 1504.3900000 1465.9500000 1479.7300000 677324083
20100802 000000 1479.6500000 1525.0500000 1474.4300000 1523.1600000 502814300
20100803 000000 1523.1600000 1531.2600000 1510.8300000 1517.6500000 457649973
20100804 000000 1517.8100000 1534.7000000 1501.9300000 1523.8000000 615996178
20100805 000000 1523.8000000 1534.7200000 1510.4300000 1517.8700000 479152297
20100806 000000 1517.4900000 1528.2200000 1505.2700000 1509.8500000 422306988
20100809 000000 1509.6900000 1529.1100000 1504.9300000 1520.5600000 535664267
20100810 000000 1520.5600000 1523.6000000 1485.7600000 1492.9000000 396891460
20100811 000000 1492.9000000 1500.1500000 1458.1900000 1460.6700000 438131615
20100812 000000 1460.7000000 1466.8600000 1437.8500000 1447.6800000 544450411
20100813 000000 1447.7500000 1463.5600000 1439.9100000 1445.3700000 291869360
20100816 000000 1445.3700000 1454.6300000 1430.2500000 1445.9400000 353858110
20100817 000000 1445.9400000 1467.3400000 1443.8000000 1464.4900000 483704181
20100818 000000 1464.6600000 1469.3500000 1453.8900000 1458.3600000 337379572
20100819 000000 1458.3600000 1471.4300000 1445.7200000 1445.7200000 333979267
20100820 000000 1446.1500000 1449.4700000 1422.5400000 1425.0300000 533011125
20100823 000000 1424.9200000 1432.9300000 1415.3700000 1425.9100000 329480175
20100824 000000 1423.9000000 1425.8100000 1389.1800000 1396.8600000 510113069
20100825 000000 1399.1600000 1403.7900000 1380.0900000 1385.8100000 612703541
20100826 000000 1386.0500000 1411.1700000 1385.5400000 1409.5100000 403606361
20100827 000000 1409.5100000 1422.9100000 1401.3400000 1421.4700000 420794735
20100830 000000 1421.4700000 1435.4300000 1421.0900000 1427.1100000 427295508
20100831 000000 1427.1100000 1428.6200000 1401.2200000 1421.2100000 435293712
20100901 000000 1421.9700000 1450.8700000 1415.3300000 1449.9900000 378174401
20100902 000000 1449.9900000 1461.9400000 1448.2300000 1455.6400000 600085965
20100903 000000 1455.6300000 1475.8700000 1452.7700000 1467.6200000 477387930
20100906 000000 1467.1900000 1478.3500000 1464.6700000 1469.7500000 356750325
20100907 000000 1469.7500000 1471.1100000 1447.5400000 1453.4700000 431642216
20100908 000000 1453.4700000 1472.0200000 1445.3600000 1468.1100000 700341503
20100909 000000 1469.4900000 1499.1100000 1464.7900000 1492.0000000 454972654
20100910 000000 1492.0000000 1495.2700000 1482.4900000 1487.0900000 504422652
20100913 000000 1487.0900000 1513.4800000 1485.2500000 1503.2200000 482888737
20100914 000000 1503.2600000 1505.7900000 1486.6200000 1493.2100000 716404786
20100915 000000 1493.2100000 1498.2700000 1474.2800000 1484.5000000 486460604
20100916 000000 1484.5000000 1489.4500000 1463.4900000 1463.8800000 582752643
20100917 000000 1463.8800000 1482.5100000 1461.2600000 1464.1800000 471266266
20100920 000000 1464.1800000 1471.0000000 1458.8900000 1467.1100000 647198981
20100921 000000 1467.1100000 1483.8600000 1467.1100000 1478.2100000 476196914
20100922 000000 1478.2100000 1483.1000000 1464.6500000 1477.0100000 500155073
20100923 000000 1477.0200000 1485.4700000 1466.2200000 1477.1300000 641107728
20100924 000000 1477.1300000 1488.6700000 1468.8600000 1488.6700000 700148941
