<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
20180618 000000 1114.0100000 1115.0900000 1098.9700000 1100.6300000 557475156
20180619 000000 1099.2100000 1101.3600000 1077.5200000 1096.9200000 654965050
20180620 000000 1103.6900000 1121.9900000 1103.6900000 1119.2100000 655176010
20180621 000000 1116.0300000 1121.0700000 1108.3600000 1110.7900000 669208253
20180622 000000 1114.8000000 1131.7300000 1113.9400000 1125.4100000 740837507
20180625 000000 1119.3600000 1129.5600000 1118.6600000 1120.2300000 521758151
20180626 000000 1126.1100000 1130.4900000 1111.0400000 1113.6000000 444373837
20180627 000000 1119.4200000 1133.6100000 1106.2500000 1124.8400000 607779217
20180628 000000 1123.5400000 1129.7700000 1117.5800000 1125.1300000 525514219
20180629 000000 1134.7200000 1154.1600000 1134.4700000 1154.1600000 691808836
20180702 000000 1151.3100000 1162.5900000 1141.2100000 1151.6600000 602166845
20180703 000000 1151.9100000 1155.8700000 1143.3100000 1147.4700000 422405063
20180704 000000 1148.6100000 1151.9100000 1144.2800000 1147.5300000 293506255
20180705 000000 1144.4500000 1171.6400000 1143.3400000 1171.6400000 613531763
20180706 000000 1169.2500000 1176.6200000 1156.6700000 1173.4700000 548589651
20180709 000000 1176.5200000 1194.7500000 1176.5200000 1193.1700000 522798091
20180710 000000 1194.2900000 1202.4200000 1190.3300000 1202.4200000 587042898
20180711 000000 1202.0800000 1202.0800000 1180.4100000 1186.3600000 625102271
20180712 000000 1176.0400000 1183.4500000 1169.7600000 1177.5000000 511644133
20180713 000000 1177.6600000 1189.3500000 1175.5400000 1189.3500000 473512993
20180716 000000 1179.9200000 1191.7600000 1172.8100000 1180.6400000 509489981
20180717 000000 1175.3500000 1175.3500000 1155.2900000 1165.1400000 576985707
20180718 000000 1155.4400000 1157.2300000 1138.9900000 1144.7200000 572091531
20180719 000000 1148.5100000 1148.5100000 1120.3000000 1124.4300000 726812087
20180720 000000 1122.4600000 1129.9500000 1112.6300000 1114.5900000 765035899
20180723 000000 1116.6700000 1134.3900000 1116.6700000 1129.9200000 441772946
20180724 000000 1131.0300000 1146.2700000 1130.8000000 1143.8100000 445680491
20180725 000000 1125.0500000 1143.3600000 1124.5800000 1141.7000000 564441961
20180726 000000 1147.2500000 1153.1200000 1141.5000000 1148.7900000 529470870
20180727 000000 1147.8600000 1151.7400000 1137.9100000 1151.7400000 426954492
20180730 000000 1147.9200000 1162.4200000 1141.0300000 1162.4200000 437799132
20180731 000000 1159.2300000 1173.0600000 1156.4000000 1173.0600000 565452575
20180801 000000 1168.2400000 1170.0200000 1157.7000000 1160.0900000 421190843
20180802 000000 1155.5000000 1158.3600000 1134.8400000 1140.9600000 505140664
20180803 000000 1140.3200000 1145.0800000 1129.5100000 1145.0800000 577185662
20180806 000000 1142.6700000 1146.5400000 1131.8300000 1138.5700000 459822588
20180807 000000 1138.8800000 1152.1000000 1137.3200000 1147.1600000 523845792
20180808 000000 1145.1900000 1146.5300000 1110.5200000 1113.7800000 871278819
20180809 000000 1096.7200000 1098.8000000 1073.1500000 1097.3300000 1001736074
20180810 000000 1082.2800000 1092.2300000 1056.9300000 1056.9300000 843224170
20180813 000000 1053.6700000 1069.5500000 1039.2900000 1059.7600000 743936039
20180814 000000 1066.9800000 1086.0100000 1065.1900000 1081.5000000 628777357
20180815 000000 1083.3900000 1083.8500000 1047.9500000 1055.2400000 616835641
20180816 000000 1062.7300000 1070.2900000 1058.3900000 1066.5100000 419285474
20180817 000000 1065.7400000 1069.1900000 1048.6700000 1052.7400000 370623186
20180820 000000 1064.8700000 1069.1500000 1061.5600000 1065.3400000 359534930
20180821 000000 1067.6400000 1074.1000000 1056.5200000 1072.1200000 389901110
20180822 000000 1075.2900000 1076.1300000 1055.9300000 1065.3400000 496222409
20180823 000000 1062.2900000 1066.6100000 1042.1100000 1043.9900000 746798884
20180824 000000 1043.5600000 1066.2500000 1040.7300000 1064.4600000 674593542
20180827 000000 1071.6600000 1084.9200000 1068.5800000 1084.1300000 383164092
20180828 000000 1080.1000000 1085.9300000 1075.3000000 1078.2800000 419143847
20180829 000000 1075.3200000 1085.0100000 1070.7900000 1085.0100000 434245651
20180830 000000 1091.9900000 1094.0700000 1072.9500000 1075.5500000 511004019
20180831 000000 1074.8700000 1096.0900000 1069.8600000 1092.2900000 545651531
20180903 000000 1093.2100000 1094.0300000 1082.4000000 1085.1900000 251322882
20180904 000000 1086.3800000 1088.5500000 1074.7300000 1082.2100000 391141885
20180905 000000 1078.9900000 1079.8200000 1068.8800000 1068.8800000 384432557
20180906 000000 1071.2900000 1079.4500000 1053.3900000 1054.3600000 431501539
20180907 000000 1056.0500000 1063.1900000 1048.8600000 1050.5100000 475289293
20180910 000000 1048.2900000 1052.5400000 1040.3000000 1043.4600000 494515881
20180911 000000 1041.8500000 1056.6400000 1040.8900000 1055.9000000 636037274
20180912 000000 1061.7000000 1074.7900000 1056.5500000 1071.3200000 588542407
20180913 000000 1067.8500000 1098.4400000 1067.8500000 1084.5400000 869450316
20180914 000000 1088.9400000 1097.3600000 1080.8000000 1094.7300000 629589164
20180917 000000 1093.1300000 1099.7400000 1086.3400000 1099.5000000 497865978
20180918 000000 1098.9700000 1123.0300000 1098.9700000 1123.0300000 628172672
20180919 000000 1124.8000000 1136.7800000 1122.4900000 1134.1000000 618405122
20180920 000000 1133.0300000 1156.2200000 1133.0300000 1140.6500000 1191671926
20180921 000000 1141.4500000 1149.5300000 1136.1700000 1149.5300000 1011828969
20180924 000000 1150.9300000 1163.8500000 1150.7500000 1162.9800000 585095110
20180925 000000 1164.7700000 1170.4500000 1156.5900000 1169.0400000 635469655
20180926 000000 1169.4700000 1174.1500000 1156.1300000 1160.7800000 566819907
20180927 000000 1160.4100000 1187.8800000 1158.7600000 1187.8800000 922288889
20180928 000000 1183.9800000 1192.0400000 1175.1100000 1192.0400000 800689859
